MPIO;Rural/Urbano
70400;Rural
70418;Urbano
70429;Rural
70473;Urbano
70508;Rural
70523;Urbano
70670;Urbano
70678;Rural
70702;Urbano
70708;Urbano
70713;Rural
70717;Urbano
70742;Urbano
70771;Rural
70820;Urbano
70823;Rural
73001;Urbano
73024;Rural
73026;Rural
73030;Rural
73043;Rural
73055;Rural
73067;Rural
73124;Rural
73148;Rural
73152;Rural
73168;Urbano
73200;Rural
73217;Rural
73226;Rural
73236;Rural
73268;Urbano
73270;Rural
73275;Urbano
73283;Urbano
73319;Urbano
73347;Rural
73349;Urbano
73352;Urbano
73408;Urbano
73411;Urbano
73443;Urbano
73449;Urbano
73461;Rural
73483;Rural
73504;Rural
73520;Urbano
73547;Rural
73555;Rural
73563;Rural
73585;Urbano
73616;Rural
73622;Rural
73624;Rural
73671;Urbano
73675;Rural
73678;Rural
73686;Rural
73770;Rural
73854;Rural
73861;Urbano
73870;Rural
73873;Rural
13001;Urbano
13006;Rural
13030;Rural
13042;Rural
13052;Urbano
13062;Urbano
13074;Rural
13140;Urbano
13160;Rural
13188;Urbano
13212;Rural
13222;Urbano
13244;Urbano
13248;Rural
13268;Rural
13300;Rural
13430;Urbano
13433;Urbano
13440;Rural
13442;Urbano
13458;Rural
13468;Urbano
13473;Rural
13490;Rural
13549;Rural
13580;Urbano
13600;Rural
13620;Urbano
13647;Urbano
13650;Rural
13654;Rural
13655;Rural
13657;Urbano
13667;Rural
13670;Urbano
13673;Urbano
13683;Urbano
13688;Rural
13744;Rural
13760;Urbano
13780;Rural
13810;Rural
13836;Urbano
13838;Urbano
13873;Urbano
13894;Rural
99624;Rural
54001;Urbano
54003;Rural
54051;Rural
54099;Rural
54109;Rural
54125;Rural
54128;Rural
54172;Urbano
54223;Rural
54239;Rural
54261;Rural
54313;Rural
54344;Rural
54347;Rural
54377;Rural
54385;Rural
54398;Rural
54405;Urbano
54418;Rural
54480;Rural
54498;Urbano
54518;Urbano
54520;Rural
54553;Urbano
54599;Urbano
54660;Rural
54670;Rural
54673;Rural
54680;Rural
54720;Rural
54743;Rural
54871;Rural
54874;Urbano
5234;Rural
5284;Rural
5361;Rural
5847;Rural
